tieu_de,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang,source_site,dien_tich_log,quan,thanh_pho,gia,gia_log
"Bán tòa nhà 7 tầng BTCT, thang máy, đường nhựa 10m xe tải tránh, 3 Tháng 2, Quận 10, chỉ 29.3 tỷ","Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh",87.0,6,5,7,Đã có sổ,2026-03-24,batdongsan,4.477336814478207,Quận 10,TP.HCM,29.3,3.4111477125153233
Bán nhà Tân Bình sát Lý Thường Kiệt 54m2 4 tầng mới đẹp giá sập hầm - Chỉ 9.6 tỷ,"Đường Thiên Phước, Phường 9, Quận Tân Bình, Hồ Chí Minh",54.0,4,3,4,Đã có sổ,2026-03-30,batdongsan,4.007333185232471,Quận Tân Bình,TP.HCM,9.6,2.3608540011180215
NHÀ ĐẸP CHIẾN LƯỢC  BÌNH TRỊ ĐÔNG  HXH 8M  FULL NỘI THẤT  CHỈ 6 TỶ NHỈNH,"Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",72.0,5,4,4,Đã có sổ,2026-03-29,batdongsan,4.290459441148391,Quận Bình Tân,TP.HCM,6.0,1.9459101490553132
Bán nhà Trần Xuân Soạn P. Tân Hưng - Hẻm 5m - 4 tầng đúc - 4PN - không quy hoạch - Sổ hồng,"Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",60.1,4,3,4,Đã có sổ,2026-03-26,batdongsan,4.11251186617755,Quận 7,TP.HCM,7.49,2.138889000323256
"Bán nhà: Đường Số 8, Lê Văn Quới, P. Bình Hưng Hòa A, Quận Bình Tân. DT 8 x 10m, giá 6.6 tỷ","Đường Số 8, Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",83.0,3,3,1,Đã có sổ,2026-03-22,batdongsan,4.430816798843313,Quận Bình Tân,TP.HCM,6.6,2.028148247292285
"Bề ngang 7m!!! Sát mặt tiền! Nhà mới đẹp 4 tấm khu Tân Hóa . DT: (7x18)m giá: 14,9 tỷ (TL)","Đường Tân Hóa, Phường 1, Quận 11, Hồ Chí Minh",122.0,5,5,4,Đã có sổ,2026-03-23,batdongsan,4.812184355372417,Quận 11,TP.HCM,14.9,2.766319109226186
"Bán nhà Quận 7 giá tốt - nhà đẹp 4 tầng full nội thất, diện tích 61,5m2. Giá 7.45 tỷ - có video","Đường Chuyên Dùng 9, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",61.5,4,5,4,Đã có sổ,2026-03-30,batdongsan,4.135166556742356,Quận 7,TP.HCM,7.45,2.134166441369082
"Bán Nhà cách mặt tiền Lê Hồng Phong 10m. 2PN 2WC, dt 24 m2. Giá 4,8 tỷ thương lượng.","Đường Lê Hồng Phong, Phường 10, Quận 10, Hồ Chí Minh",24.0,2,2,2,Đã có sổ,2026-03-26,batdongsan,3.2188758248682006,Quận 10,TP.HCM,4.8,1.7578579175523736
Ngộp Bank bán nhà - hẻm 5m thông - Hiếm - ngay Nguyễn Phúc Chu P15 (Tân Sơn) Tân Bình,"Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, Hồ Chí Minh",55.0,4,5,4,Đã có sổ,2026-03-30,batdongsan,4.02535169073515,Quận Tân Bình,TP.HCM,7.2,2.1041341542702074
"Quá rẻ chỉ ""82tr/m2"" - Bán đất tặng nhà 2 tầng 143m2 (4m/8m x 30m) - Hẻm xe tải 6m gần Hàng Xanh","Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh",143.0,2,2,2,Đã có sổ,2026-03-21,batdongsan,4.969813299576001,Quận Bình Thạnh,TP.HCM,11.6,2.533696813957432
Nhà đẹp giá rẻ 48m2 Văn Thân 2 tầng BTCT xách vali ở ngay chỉ 5 tỷ nhỉnh,"Đường Văn Thân, Phường 7, Quận 6, Hồ Chí Minh",48.0,4,3,2,Đã có sổ,2026-03-30,batdongsan,3.8918202981106265,Quận 6,TP.HCM,5.68,1.8991179875485542
"Q12 - Trung Mỹ Tây 9 - HXH - 97m2. 5 phòng trọ. Giá chỉ 4,8 tỷ","Đường Trung Mỹ Tây 9, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",97.0,5,5,2,Đã có sổ,2026-03-28,batdongsan,4.584967478670572,Quận 12,TP.HCM,4.8,1.7578579175523736
Nhà HXH Cư xá Phú Bình Q11 (P. Hòa Bình),"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",48.0,4,3,2,Đã có sổ,2026-03-25,batdongsan,3.8918202981106265,Quận 11,TP.HCM,6.45,2.0082140323914683
Cực phẩm 4 tầng Võ Văn Hát - Giá tốt lắm anh chị ơi - Căn này tiền xây và nội thất đã hơn 3.5 tỷ,"Đường Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh",61.4,4,5,4,Đã có sổ,2026-03-25,batdongsan,4.133565275375382,Quận 9,TP.HCM,8.9,2.2925347571405443
"Bán Nhà hẻm 87 Bờ Bao Tân Thắng (4x20m, Nhà 4 Tầng) Đối diện Công Viên, Cạnh AEON Mall Tân Phú","Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",80.0,4,5,4,Đã có sổ,2026-03-29,batdongsan,4.394449154672439,Quận Tân Phú,TP.HCM,10.6,2.451005098112319
"Nhà 4 tầng Âu Dương Lân Q.8, 10m ra tới đường nhựa xe tải, DTSD 160m2, nhỉnh 6 tỷ","Đường Âu Dương Lân, Phường 2, Quận 8, Hồ Chí Minh",45.0,4,5,4,Đã có sổ,2026-03-23,batdongsan,3.828641396489095,Quận 8,TP.HCM,6.92,2.0693912058263346
"NHÀ RIÊNG CÓ SỔ, KHU DÂN CƯ LÂU NĂM HẺM XE HƠI LÊ VĂN SỸ GẦN SÂN BAY","Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh",73.7,4,2,2,Đã có sổ,2026-03-29,batdongsan,4.3134800921387715,Quận Tân Bình,TP.HCM,12.5,2.6026896854443837
"Bán nhà hẻm 6m đường số 59, P.14, 4 x 16, 4 tầng, cho thuê 35 triệu/tháng giá 7.9 tỷ tl","Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh",64.0,7,7,5,Đã có sổ,2026-03-30,batdongsan,4.174387269895637,Quận Gò Vấp,TP.HCM,7.9,2.186051276738094
"Bán NR 5PN 5WC 90m2 tại Nguyễn Thị Định, Thạnh Mỹ Lợi, Quận 2 giá 12 tỷ VND","Đường Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",90.0,5,5,5,Đã có sổ,2026-03-16,batdongsan,4.51085950651685,Quận 2,TP.HCM,12.0,2.5649493574615367
Nhà phố 4x16m 1lững 3 lầu đường 12m liền kề Hiệp Thành City khu đồng bộ an ninh,"1/, Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4,5,4,Đã có sổ,2026-03-29,batdongsan,4.174387269895637,Quận 12,TP.HCM,6.89,2.065596134857783
"Bán Nhà riêng tạiPhố Vũ Xuân Thiều, Phường Sài Đồng, Quận Long Biên, Hà Nội","Phố Vũ Xuân Thiều, Phường Sài Đồng, Quận Long Biên, Hà Nội",40.0,3,4,6,Đã có sổ,2026-01-27,thuviennhadat,3.713572066704308,Quận Long Biên,Hà Nội,8.5,2.2512917986064953
"BÁN NHÀ HẺM XE HƠI LÊ THỊ RIÊNG, P. BẾN THÀNH, Q1","Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",62.0,5,4,4,Đã có sổ,2026-03-07,batdongsan,4.143134726391533,Quận 1,TP.HCM,23.0,3.1780538303479458
"Bán Nhà riêng tạiThái Hà , Phường Trung Liệt, Quận Đống Đa, Hà Nội","Thái Hà , Phường Trung Liệt, Quận Đống Đa, Hà Nội",52.0,4,4,6,Đã có sổ,2025-11-13,thuviennhadat,3.970291913552122,Quận Đống Đa,Hà Nội,21.0,3.091042453358316
Lên sóng cặp nhà view sông xây 2 lầu giá tốt,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",100.0,3,4,3,Đã có sổ,2026-03-17,batdongsan,4.61512051684126,Quận 12,TP.HCM,6.35,1.9947003132247452
Bán nhà Thoại Ngọc Hầu đường rộng thông thoáng 4x28.5m,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",115.0,5,3,1,Đã có sổ,2026-03-31,batdongsan,4.7535901911063645,Quận Tân Phú,TP.HCM,9.9,2.388762789235098
"BÁN NHÀ HẺM XE HƠI SÁT MẶT TIỀN TÔ HIỆU, TÂN PHÚ chỉ 5.5 tỷ","Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh",53.0,1,1,1,Đã có sổ,2026-03-30,batdongsan,3.9889840465642745,Quận Tân Phú,TP.HCM,5.5,1.8718021769015913
"Bán gấp nhà đường Cư Xá Lữ Gia-Q11 giá 3tỷ670/79,3m2. Gần THCS Lữ Gia. Cho thuê được 24 tr","Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh",79.3,3,3,3,Đã có sổ,2026-03-29,batdongsan,4.385769620952716,Quận 11,TP.HCM,3.67,1.541159071680806
"Bán nhà mới hẻm xe hơi An Dương Vương, 4 x 17m, 4.5 tấm, 7.8 tỷ","Đường An Dương Vương, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",68.0,4,4,5,Đã có sổ,2026-03-17,batdongsan,4.23410650459726,Quận Bình Tân,TP.HCM,7.8,2.174751721484161
"Hẻm 4m Nguyễn Chế Nghĩa, P. 13, Q. 8, dt: 4 x 16m, 5 tầng, giá 7 tỷ 4","Đường Nguyễn Chế Nghĩa, Phường 13, Quận 8, Hồ Chí Minh",64.0,6,5,5,Đã có sổ,2026-03-21,batdongsan,4.174387269895637,Quận 8,TP.HCM,7.4,2.128231705849268
"Bán Nhà riêng tạiLê Quý Đôn, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội","Lê Quý Đôn, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",30.0,3,3,8,Đã có sổ,2026-04-03,thuviennhadat,3.4339872044851463,Quận Hai Bà Trưng,Hà Nội,6.8,2.0541237336955462
"Bán đất tặng nhà 91.5m2 - 4,5tỷ bề ngang khủng 6,5m, hẻm ô tô thông, tặng GPXD 4 tầng","Đường Bùi Văn Ngữ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",91.5,3,2,1,Đã có sổ,2026-03-24,batdongsan,4.52720864451838,Quận 12,TP.HCM,4.5,1.7047480922384253
"Bán Nhà riêng tạitrần phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","trần phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",32.0,3,4,5,Đã có sổ,2025-03-12,thuviennhadat,3.4965075614664802,Quận Hà Đông,Hà Nội,9.6,2.3608540011180215
NHÀ MỚI TÂN PHÚ NGAYNHÀ MỚI TÂN PHÚ NGAY CHỢ VẢI PHÚ THỌ HOÀ HẺM 6M XE HƠI ĐỖ CỬA 56M2 CHỈ 7.5 đồng,"Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh",56.0,2,2,2,Đã có sổ,2026-03-28,batdongsan,4.04305126783455,Quận Tân Phú,TP.HCM,7.5,2.1400661634962708
"[BÁN GẤP] NHÀ SIÊU PHẨM HẺM 8M THÔNG 2 ĐẦU NGUYỄN CHẾ NGHĨA P.13 Q.8. PL SỔ HỒNG. GIÁ 11.7 TỶ TL,","Đường Nguyễn Chế Nghĩa, Phường 13, Quận 8, Hồ Chí Minh",84.0,2,1,2,Đã có sổ,2026-03-22,batdongsan,4.442651256490317,Quận 8,TP.HCM,11.7,2.5416019934645457
"Bán Nhà riêng tạibình sơn, Thị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội","bình sơn, Thị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội",45.0,5,3,5,Đã có sổ,2026-03-23,thuviennhadat,3.828641396489095,Quận/Huyện khác,Hà Nội,4.25,1.6582280766035324
"Bán Nhà riêng tạiTôn Thất Tùng, Đống Đa, Hà Nội., Phường Khương Thượng, Quận Đống Đa, Hà Nội","Tôn Thất Tùng, Đống Đa, Hà Nội., Phường Khương Thượng, Quận Đống Đa, Hà Nội",32.0,3,4,6,Đã có sổ,2025-05-12,thuviennhadat,3.4965075614664802,Quận Đống Đa,Hà Nội,7.68,2.1610215286722587
Nhà Trung Mỹ Tây hẻm xe tải 2 xe tránh 4 tầng gần Gò Vấp SHR 5.4 tỷ,"Đường Lâm Thị Hố, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",52.0,5,5,4,Đã có sổ,2026-03-30,batdongsan,3.970291913552122,Quận 12,TP.HCM,5.4,1.8562979903656263
NHÀ 3 TẦNG MỚI ĐẸP Ở NGAY- CÁCH MT NGUYỄN CẢNH CHÂN 30M - TẶNG FULL NỘI THẤT - VỊ TRÍ TRUNG TÂM Q1,"Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Hồ Chí Minh",34.0,4,3,3,Đã có sổ,2026-03-24,batdongsan,3.5553480614894135,Quận 1,TP.HCM,6.98,2.0769384114617173
"Nhà 2 lầu, mới xây, hẽm 3m cách MT Phú Định 50m p16 Q8 gần Hoàng Ngân","Đường Phú Định, Phường 16, Quận 8, Hồ Chí Minh",32.55,2,3,3,Đã có sổ,2026-03-26,batdongsan,3.5130368634176907,Quận 8,TP.HCM,3.95,1.599387576580599
"Bán Nhà mặt phố tạiBà triệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội","Bà triệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",80.0,4,2,2,Đã có sổ,2026-03-13,thuviennhadat,4.394449154672439,Quận Hà Đông,Hà Nội,22.6,3.1612467120315646
"Bán Nhà riêng tạiHoàng hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội","Hoàng hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội",30.0,4,3,6,Đã có sổ,2025-11-20,thuviennhadat,3.4339872044851463,Quận Tây Hồ,Hà Nội,7.9,2.186051276738094
"Bán Nhà Dương Văn Dương, Phú Thọ Hòa ( 65M2 - 2 Tầng - Nhà Mới) - Q. Tân Phú.0978 032 ***","Đường Dương Văn Dương, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh",65.0,3,4,2,Đã có sổ,2026-03-29,batdongsan,4.189654742026425,Quận Tân Phú,TP.HCM,6.9,2.066862759472976
"Bán nhà đường lớn 10m, 5x21, 3 tầng sát mặt tiền Phan Huy Ích, Tân Bình, vị trí cực đẹp, 12.x tỷ","Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh",102.0,6,4,3,Đã có sổ,2026-03-31,batdongsan,4.634728988229636,Quận Tân Bình,TP.HCM,12.8,2.624668592163159
"Bán Nhà riêng tạiHoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",42.3,3,4,5,Đã có sổ,2025-08-23,thuviennhadat,3.768152635008444,Quận Hoàng Mai,Hà Nội,7.95,2.191653532286764
"Bán nhà ngang 4.75m ngay Đ. Lạc Long Quân, P. 10 Q. Tân Bình, giá 9.5 tỷ TL","Đường Gò Cẩm Đệm, Phường 10, Quận Tân Bình, Hồ Chí Minh",60.0,4,3,4,Đã có sổ,2026-03-20,batdongsan,4.110873864173311,Quận Tân Bình,TP.HCM,9.5,2.3513752571634776
"Nhà mới hẻm thông xe hơi Hoàng Bật Đạt 4x11m, 3PN + phòng thờ, giá 7.5 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Hồ Chí Minh",44.0,3,3,3,Đã có sổ,2026-03-23,batdongsan,3.8066624897703196,Quận Tân Bình,TP.HCM,7.5,2.1400661634962708
"NHÀ NGANG HIẾM, 1/ SẸC, KO LG QH - BÀ HẠT - 4.2X7(27M2), 4TẦNG - 5.8TỶ","Đường Bà Hạt, Phường 8, Quận 10, Hồ Chí Minh",27.0,2,3,4,Đã có sổ,2026-03-30,batdongsan,3.332204510175204,Quận 10,TP.HCM,5.8,1.916922612182061
"Bán Nhà mặt phố tạiMinh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",42.0,4,4,6,Giấy tờ không xác định,2025-11-24,thuviennhadat,3.7612001156935624,Quận Hai Bà Trưng,Hà Nội,12.8,2.624668592163159
Quận 10 - Lý Thái Tổ - 105m2 - 16.3 tỷ - ngang 5m nở hậu - hẻm 6m thông,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh",105.0,2,2,1,Đã có sổ,2026-03-27,batdongsan,4.663439094112067,Quận 10,TP.HCM,16.3,2.8507065015037334
"Villa mini 7,5m x 13m. Xây 4 Tầng Có Thang Máy Góc 2MT Hẻm đường Hiệp Thành 45","Đường Hiệp Thành 45, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",90.0,4,5,4,Đã có sổ,2026-03-19,batdongsan,4.51085950651685,Quận 12,TP.HCM,8.89,2.2915241456346207
NHÀ ĐẸP MỚI XÂY - 4 TẦNG BTCT ĐẸP LUNG LINH- MẠC VÂN NGAY TRƯỜNG VÕ VĂN KIỆT BÌNH ĐÔNG NHỈNH 6 tỷ,"Đường Mạc Vân, Phường 13, Quận 8, Hồ Chí Minh",50.0,4,5,4,Đã có sổ,2026-03-26,batdongsan,3.9318256327243257,Quận 8,TP.HCM,6.3,1.9878743481543455
"Khu VIP sân bay DT 100m2(5x20) HXH Cộng Hoà,Tân Bình,CV Hoàng Văn Thụ,Vincom,nhỉnh 16 tỷ","Đường Cộng Hòa, Phường 4, Quận Tân Bình, Hồ Chí Minh",100.0,6,6,4,Đã có sổ,2026-03-26,batdongsan,4.61512051684126,Quận Tân Bình,TP.HCM,16.5,2.8622008809294686
"Bán Nhà riêng tạiĐàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội","Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",37.0,3,5,7,Đã có sổ,2025-12-12,thuviennhadat,3.6375861597263857,Quận Long Biên,Hà Nội,11.5,2.5257286443082556
"Chính chủ gửi bán căn nhà mới 2 tầng 4x18m, ngay Chiến Lược thông Mã Lò, HXH 7m, 6.2 tỷ","Đường Chiến Lược, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",70.8,2,2,2,Đã có sổ,2026-03-28,batdongsan,4.273884476054178,Quận Bình Tân,TP.HCM,6.2,1.9740810260220096
"Bán Nhà riêng tạivạn phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","vạn phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",34.0,3,4,5,Đã có sổ,2025-03-12,thuviennhadat,3.5553480614894135,Quận Hà Đông,Hà Nội,8.3,2.2300144001592104
"Biệt thự phố kẹt giảm gấp đường Trung Mỹ Tây (6x25), phường Trung Mỹ Tây, Quận 12 giá rẻ như lô đất","Đường Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",150.0,4,4,3,Đã có sổ,2026-03-28,batdongsan,5.017279836814924,Quận 12,TP.HCM,8.68,2.2700619012884857
"Bán Nhà biệt thự, liền kề theo dự ánVinhomes Riverside tại Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Hà Nội","Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Hà Nội",295.0,5,4,7,Đã có sổ,2025-12-25,thuviennhadat,5.69035945432406,Quận Long Biên,Hà Nội,29.5,3.417726683613366
"Bán nhà hẻm xe hơi thông - 83m2, 4.4x18 - SHR hoàn công đủ - nhỉnh 7 tỷ","Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh",83.0,4,2,2,Đã có sổ,2026-03-19,batdongsan,4.430816798843313,Quận 6,TP.HCM,7.4,2.128231705849268
5.5 tỷ 3 tầng - hẻm xe hơi - 67m2 - Nguyễn Thị Thập - Lotte Q7,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",65.0,4,4,3,Đã có sổ,2026-03-30,batdongsan,4.189654742026425,Quận 7,TP.HCM,5.5,1.8718021769015913
"Bán Nhà riêng tạiĐường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội",70.0,6,8,5,Đã có sổ,2026-12-03,thuviennhadat,4.2626798770413155,Quận Ba Đình,Hà Nội,20.5,3.068052935133617
"Bán Nhà riêng tạimậu lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","mậu lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",33.0,4,3,5,Đã có sổ,2025-10-17,thuviennhadat,3.5263605246161616,Quận Hà Đông,Hà Nội,5.66,1.8961194845522977
Nhà Phố 4m x 16m Xây 4 Tầng Hẻm 7m 1/Ngắn Tân Thới Hiệp 06,"Đường Tân Thới Hiệp 6, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",60.0,4,6,4,Đã có sổ,2026-03-26,batdongsan,4.110873864173311,Quận 12,TP.HCM,7.75,2.169053700369523
"BÁN NHÀ KẾ BX AN SƯƠNG . PHƯỜNG ĐÔNG HƯNG THUẬN QUẬN 12 ,NHỈNH 2.7TỶ ĐANG CHO THUÊ 7Triệu/Tháng.","Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",43.5,2,2,2,Đã có sổ,2026-03-30,batdongsan,3.7954891891721947,Quận 12,TP.HCM,2.5,1.252762968495368
"Bán nhà riêng 7C, Lạc Long Quân, Phường 5, Quận 11, 8 tỷ, 48 m2, giá tốt hàng hiếm tại","7C, Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",48.0,2,2,3,Đã có sổ,2026-03-29,batdongsan,3.8918202981106265,Quận 11,TP.HCM,8.0,2.1972245773362196
"Hot, Bán gấp Nhà riêng Mã Lò, BTân, 56m2, 4 tầng đúc mới đẹp, hẻm 6m thông, chỉ nhỉnh 5 tỷ.","Đường Mã Lò, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",56.0,4,3,4,Đã có sổ,2026-03-18,batdongsan,4.04305126783455,Quận Bình Tân,TP.HCM,5.5,1.8718021769015913
"Chính chủ bán nhà riêng địa chỉ 72/59 Đường Văn Chung, Phường Tân Bình, TPHCM","72/59 , Đường Văn Chung, Phường 13, Quận Tân Bình, Hồ Chí Minh",48.6,2,3,2,Đã có sổ,2026-03-30,batdongsan,3.903990833730882,Quận Tân Bình,TP.HCM,9.5,2.3513752571634776
"HXH 7 chỗ sát Emart 2 Phan Huy Ích nhà mới 4 tầng có dòng tiền P.12, Gò Vấp","Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh",36.7,4,3,4,Đã có sổ,2026-03-30,batdongsan,3.629660094453965,Quận Gò Vấp,TP.HCM,5.99,1.944480556245719
"Bán Nhà riêng tạiquang trung, Phường La Khê, Quận Hà Đông, Hà Nội","quang trung, Phường La Khê, Quận Hà Đông, Hà Nội",45.0,4,3,4,Đã có sổ,2026-02-26,thuviennhadat,3.828641396489095,Quận Hà Đông,Hà Nội,9.65,2.365559892155434
Bán gấp - mặt tiền giá hẻm - ngang 5 nở hậu 6m x 19m - 3 tầng BTCT - còn mới và chắc chắn - 3PN,"Đường Số 11, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",96.0,3,3,3,Đã có sổ,2026-03-25,batdongsan,4.574710978503383,Quận Bình Tân,TP.HCM,5.6,1.8870696490323797
NHÀ ĐẸP 4 TẦNG XE HƠI HUỲNH THI ĐỒNG-DT 4X18M -HƠN 6 TỶ-FULL NỘI THẤT-SHR HOÀN CÔNG - 4PN,"Đường Huỳnh Thị Đồng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",72.0,4,4,4,Đã có sổ,2026-03-29,batdongsan,4.290459441148391,Quận 7,TP.HCM,6.7,2.0412203288596382
Hiếm! Nhà oto 6m gần KDC Lý Chiêu Hoàng - 4 tầng mới đẹp - 4x9m - Chỉ 5.5 tỷ còn TL - Xem ngay,"Đường Lê Công Phép, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",34.6,3,3,4,Đã có sổ,2026-03-21,batdongsan,3.572345637857985,Quận Bình Tân,TP.HCM,5.5,1.8718021769015913
Cần Bán nhà 2 tầng Tỉnh Lộ 10 gần khu Tên Lửa 45m2 giá 2.8 tỷ,"Đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",45.0,2,2,2,Đã có sổ,2026-03-30,batdongsan,3.828641396489095,Quận Bình Tân,TP.HCM,2.8,1.33500106673234
"Nhà Âu Cơ 3 PN 3 WC Quận 11, hẻm xe hơi, ngang 5.2m giáp Tân Bình, 7 tỷ TL","Đường Âu Cơ, Phường 14, Quận 11, Hồ Chí Minh",54.1,3,3,3,Đã có sổ,2026-03-26,batdongsan,4.009149716158869,Quận 11,TP.HCM,7.5,2.1400661634962708
"Hẻm xe hơi đẹp - DT: 4.1 x 17m - Giá chỉ: 8.2 tỷ - đường Hồng Lạc, khu Bàu Cát Q. TB","Đường Hồng Lạc, Phường 10, Quận Tân Bình, Hồ Chí Minh",69.7,2,2,2,Đã có sổ,2026-03-31,batdongsan,4.258445572902527,Quận Tân Bình,TP.HCM,8.2,2.2192034840549946
"Bán nhà Trung Mỹ Tây Quận 12, 52.5m2, hẻm 5m, sau Galaxy Trung Chánh, 3.9tỷ TL","Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",52.5,2,1,1,Đã có sổ,2026-03-27,batdongsan,3.979681653901961,Quận 12,TP.HCM,3.9,1.589235205116581
"Nhà lâu năm - Trần Văn Đang - 3.5x14m (51m2), 2 tầng - 6tỷ","Đường Trần Văn Đang, Phường 11, Quận 3, Hồ Chí Minh",51.0,4,4,2,Đã có sổ,2026-03-29,batdongsan,3.9512437185814275,Quận 3,TP.HCM,6.0,1.9459101490553132
"Nhà 3/2 quận 10, 59m2, ngang 4,3m, nở hậu tài lộc giá chỉ 7.9 tỷ chốt nhanh","185/ , Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",59.0,4,3,3,Đã có sổ,2026-03-19,batdongsan,4.0943445622221,Quận 10,TP.HCM,7.9,2.186051276738094
"Bán Nhà riêng tạiĐường Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Đường Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",52.0,6,6,5,Đã có sổ,2026-10-03,thuviennhadat,3.970291913552122,Quận Đống Đa,Hà Nội,27.0,3.332204510175204
"NHÀ ĐẸP HẺM 5M-TÂN BÌNH-GẦN KHU BÀU CÁT-61M2-3TẦNG-(4,1X15M)-NHỈNH 9TỶ","Phường 11, Quận Tân Bình, Hồ Chí Minh",61.0,4,4,3,Đã có sổ,2026-03-31,batdongsan,4.127134385045092,Quận Tân Bình,TP.HCM,9.2,2.322387720290225
"Bán Nhà biệt thự, liền kề tạiĐền lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Đền lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",55.0,8,10,7,Đã có sổ,2026-03-26,thuviennhadat,4.02535169073515,Quận Hoàng Mai,Hà Nội,33.2,3.5322256440685598
