tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang,source_site
"(5,88 Tỷ TL) Nhà 1 Sẹc, Hẻm Xe Hơi, 4 Tầng Mới Đẹp Trần Bình Trọng, Gần Mặt Tiền..!",5.88,"Đường Trần Bình Trọng, Phường 2, Quận 5, Hồ Chí Minh",22.0,4,2,4,Sổ hồng,2026-03-30,batdongsan
"SIÊU PHẨM !Nhà ở Lê Văn Sỹ, P13, Q3. 4,6x10, CN 41,6m2 Vuông-4 tầng. Chỉ 10 tỷ TL, 097857870 Văn Vũ",10.0,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",41.6,4,3,4,Sổ hồng,2026-03-22,batdongsan
"Bán nhà riêng tại Bình Trị Đông, 4,8 tỷ, 48 m2, 2PN, 2WC, hướng Đông, uy tín, Hot!",4.8,"Đường Bình Trị Đông, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",48.0,2,2,2,Sổ hồng,2026-03-29,batdongsan
"Bán nhà hẻm Tỉnh Lộ 10, DT 4x13m, 2 tấm, giá 5.3 tỷ",5.3,"Hẻm 637, Đường Tỉnh Lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",52.0,3,2,2,Sổ hồng,2026-03-21,batdongsan
"Bán nhà Q6 gần vòng xoay Phú Lâm , chợ Phú Lâm, vài bước ra hẻm xe tải, hẻm trước nhà 3 mét.",3.75,"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh",41.0,2,2,2,Sổ hồng,2026-03-18,batdongsan
Nhà gần đường Bùi Tá Hán + Nguyễn Hoàng - Bán 17.5 tỷ,17.5,"Phường An Phú, Quận 2, Hồ Chí Minh",80.0,4,5,4,Sổ hồng,2026-03-30,batdongsan
"NHÀ 56m2 TỈNH LỘ 10, HẺM Ô TÔ TRÁNH, chỉ 4.5 Tỷ , BÌNH TÂN",4.5,"Đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",56.0,2,2,2,Sổ hồng,2026-03-30,batdongsan
Cạnh mặt tiền 66m2 4 tầng nhỉnh 8 tỷ Trần Quang Diệu Q3 gần ĐH Sư Phạm,8.6,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",66.0,4,4,4,Sổ hồng,2026-03-20,batdongsan
SỐC! NHÀ 3 TẦNG XE HƠI VÀO NHÀ CHỈ 5.ty 980,5.98,"256, Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",52.0,4,3,3,Sổ hồng,2026-03-26,batdongsan
TÔN THẤT THUYẾT Q4 - DT 73.4m2 NGANG 3Mx18M NỞ HẬU 4M TÚI TÀI LỘC - 2 TẦNG 3PN 2WC - GIÁ CHỈ 6.9 TỶ,7.0,"Đường Tôn Thất Thuyết, Phường 16, Quận 4, Hồ Chí Minh",73.4,3,2,2,Sổ hồng,2026-03-25,batdongsan
Bán nhà xây mới 4 tầng hẻm xe hơi đến nhà Âu Dương Lân P3. Q8,6.4,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",36.0,3,3,4,Sổ hồng,2026-03-27,batdongsan
"Nhà đẹp mới hoàn thiện thiết kế hiện đại hẻm xe hơi Nguyễn Thị Định,đầy đủ công năng",9.9,"Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh",67.0,4,4,4,Sổ hồng,2026-03-19,batdongsan
6x25m - nhà đẹp 3 tầng + dòng tiền + MB kinh doanh | sát Nguyễn Ảnh Thủ Q12,9.0,"Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",150.0,7,7,3,Sổ hồng,2026-03-23,batdongsan
Bán nhà hẻm 703 Lê Trọng Tấn thông chợ Phạm Đăng Giảng DT: 4*14m 4 tấm 6.12 tỷ,6.12,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",56.0,5,5,4,Sổ hồng,2026-03-27,batdongsan
"Bán nhà 4 tầng 4x15m HXH Hoàng Trọng Mậu - kề khu Him Lam chỉ 10,2 tỷ TL trung tâm Quận 7",10.2,"Đường Hoàng Trọng Mậu, Phường Tân Quy, Quận 7, Hồ Chí Minh",61.0,4,4,4,Sổ hồng,2026-03-28,batdongsan
Hẻm xe hơi Nguyễn Kiệm kinh doanh buôn bán tiện xe hơi ngủ trong nhà nội thất mới giá tốt,7.6,"Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Hồ Chí Minh",45.0,5,5,4,Sổ hồng,2026-03-30,batdongsan
Hoa hồng 50 tr. Chính chủ bán nhà Hồng Bàng Q6 SHR 3 lầu nhà đẹp sửa mới hẻm thông giá cực tốt,3.88,"Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",18.6,3,4,3,Sổ hồng,2026-03-21,batdongsan
"(NEW) NHÀ ĐẸP - 4 tầng Đặng Minh Trứ ngay khu Bàu Cát (40m2) ngang 4m vuông vức, 3 phòng vào ở ngay",6.2,"Đường Đặng Minh Trứ, Phường 10, Quận Tân Bình, Hồ Chí Minh",40.0,3,3,4,Sổ hồng,2026-03-30,batdongsan
"Bán nhà HXH đường 3/2 Q10, DT: 40m2, nhà 3 tầng BTCT - Giá: 9.9 tỷ",10.0,"Đường 3/2, Phường 10, Quận 10, Hồ Chí Minh",40.0,3,3,3,Sổ hồng,2026-03-24,batdongsan
"LÝ PHỤC MAN Q7, NHÀ ĐẸP 4 TẦNG 5PN FULL NỘI THẤT XỊN, DT 5x13M, ĐƯỜNG NHỰA 7M, CHỈ 11.5 TỎI TL",11.5,"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",65.0,5,5,4,Sổ hồng,2026-03-25,batdongsan
Siêu phẩm nhà phố - Đối diện Aeon Tên Lửa - Ngang hơn 4m - 2 tầng - Full nội thất xịn - 5.55 tỷ,5.55,"Phường An Lạc A, Quận Bình Tân, Hồ Chí Minh",40.7,2,2,2,Sổ hồng,2026-03-30,batdongsan
"KẸT TIỀN BÁN GẤP NHÀ(SHR) THẠNH XUÂN 22 NGAY CHỢ MINH PHÁT, 65M2, 4PN, ĐƯỜNG 5M",5.65,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",65.0,4,5,3,Sổ hồng,2026-03-28,batdongsan
Nhà nở hậu - Huỳnh Tịnh Của - 3.7x11m (43m2) - 5.8tỷ,5.8,"Đường Huỳnh Tịnh Của, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",43.0,2,1,2,Sổ hồng,2026-03-29,batdongsan
Bán nhà mặt tiền 4 tầng gần chợ Phạm Thế Hiển - 70m2 - 4 tầng,8.9,"Đường Phạm Thế Hiển, Phường 4, Quận 8, Hồ Chí Minh",70.0,4,4,4,Sổ hồng,2026-03-28,batdongsan
Hẻm ô tô thông thích quảng đức (24m2) 4 tầng khu dân trí cao,4.85,"Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",24.0,2,2,4,Sổ hồng,2026-03-30,batdongsan
"Bán nhà 64m2 2MT hẻm 2tấm đúc BTCT đường Trịnh Đình Trọng, Tân Phú",5.3,"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh",63.0,3,3,2,Sổ hồng,2026-03-18,batdongsan
"Cô Liên bán gấp nhà Bùi Thị Xuân, Tân Bình. DT: 50.4m2 / 3 Tỷ 620, sẵn HĐ thuê 13 tr. LH ngay!",3.62,"Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, Hồ Chí Minh",50.4,3,3,2,Sổ hồng,2026-03-29,batdongsan
"Giảm ngay 500tr Bán nhà 3 tầng 3PN, 2WC, 100m2 tại Tân Thới Hiệp 21, Q12, HCM, giá chỉ còn 6,5 tỷ",6.5,"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",100.0,3,2,3,Sổ hồng,2026-03-30,batdongsan
"Nhà 45m2 - Thoại Ngọc Hầu - 4,5x10m - vuông vức - hẻm thẳng trục - giá 3tỷ2",3.2,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",45.0,2,1,2,Sổ hồng,2026-03-29,batdongsan
"KHU VIP PHÂN LÔ ĐỒNG BỘ - TRỊNH ĐÌNH TRỌNG - TÂN PHÚ - ĐƯỜNG NHỰA 7M, GẦN MT - XE HƠI VÀO TRONG NHÀ",12.3,"Đường Trịnh Đình Trọng, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",65.0,5,5,4,Sổ hồng,2026-03-30,batdongsan
"Bán nhà 3 tầng đường An Dương Vương,gần Võ Văn Kiệt,KDC Lê Thành",8.0,"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",90.0,4,4,3,Sổ hồng,2026-03-30,batdongsan
"Bán nhà 1/ HXH 8m Dương Quảng Hàm , p5 , 3 lầu , DT: 5x12m , giá 9 tỷ thương lượng",9.0,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",58.0,5,5,3,Sổ hồng,2026-03-30,batdongsan
"Căn Góc 6 Tầng Thang Máy 5.2x10m Nở Hậu Đều 6m, Xe Hơi Đậu Trong Nhà, Bùi Quang Là phường 12 Gò Vấp",9.6,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh",52.0,3,4,6,Sổ hồng,2026-03-30,batdongsan
"Bán gấp nhà HXH Minh Phụng, P.9, Quận 11, chỉ 7.6ty",7.6,"Đường Minh Phụng, Phường 9, Quận 11, Hồ Chí Minh",36.0,2,2,2,Sổ hồng,2026-03-23,batdongsan
Nhà HXH thông kinh doanh tốt | Phan Huy Ích Gò Vấp,6.5,"256/, Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh",45.6,3,3,3,Sổ hồng,2026-03-26,batdongsan
Hẻm xe tải 5m Lê Văn Sỹ DT 71.42m2 (4.4 x 16 m) - KC 3tầng. Cách MT chỉ 20m vị trí đẹp hiếm có bán!,9.3,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Hồ Chí Minh",71.42,5,5,3,Sổ hồng,2026-03-28,batdongsan
Phan Tôn Q1 thông tứ hướng Điện Biên Phủ - Đinh Tiên Hoàng - Võ Thị Sáu. 2 tầng - 2 PN - 2wc,6.2,"Đường Phan Tôn, Phường Đa Kao, Quận 1, Hồ Chí Minh",23.54,2,2,2,Sổ hồng,2026-03-23,batdongsan
"5tỷ700 || Nhà 3 tầng || 3,8*22m || hẻm 5m, xe 7 chỗ tới nhà - 500m qua Phú Mỹ Hưng, Quận 7",5.7,"Đường Phú Thuận, Phường Phú Thuận, Quận 7, Hồ Chí Minh",54.0,4,4,3,Sổ hồng,2026-03-29,batdongsan
Nhà Mới 3 Lầu 4x14m Đường số 6 Hẻm 6m thông Gần Aeon mall Tân Phú,6.2,"Đường Số 6, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",56.0,4,3,3,Sổ hồng,2026-03-31,batdongsan
"Bán nhà đường Chuyên Dùng 9, Phú Thuận, Quận 7, DT: 2,5 nở hậu 4mx20m, 3pn. Giá: 3,2 tỷ",3.2,"Đường Chuyên Dùng 9, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",50.0,3,2,2,Sổ hồng,2026-03-17,batdongsan
PHƯỜNG TÂN SƠN NHÌ TÂN PHÚ GIÁP TÂN BÌNH,4.15,"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",35.0,3,2,2,Sổ hồng,2026-03-28,batdongsan
"Gò Vấp, gần Sân Bay, 70m, ngang 4,3m hẻm VF3 mà chỉ 7,x Tỷ",7.9,"Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh",70.0,2,3,2,Sổ hồng,2026-03-20,batdongsan
"Bán nhà Phú Nhuận cận công viên Gia Định - 37m2 - 4 tầng - hẻm ô tô - giá 6,95 tỷ",6.95,"Đường Bùi Văn Thêm, Phường 9, Quận Phú Nhuận, Hồ Chí Minh",37.0,3,4,4,Sổ hồng,2026-03-30,batdongsan
"Nhà ngang 5m, 6 tầng, 245m2 sử dụng, thang máy riêng, ô tô trong nhà, cổng compound face ID",7.7,"Đường Trương Đình Hội, Phường 16, Quận 8, Hồ Chí Minh",44.0,4,5,6,Sổ hồng,2026-03-25,batdongsan
Nhà Phố 4m x 15m. Đúc 3 Lầu 1/ Hẻm 7m Đường Lâm Thị Hố,5.2,"Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",52.0,4,3,3,Sổ hồng,2026-03-30,batdongsan
"Hẻm xe hơi ngang 7m, DT: 100m2 hơn, khúc Nguyễn Tri Phương, Hòa Hảo, Nguyễn Tiểu La, Q10",18.0,"Đường Hòa Hảo, Phường 8, Quận 10, Hồ Chí Minh",98.0,1,1,1,Sổ hồng,2026-03-24,batdongsan
"Bán nhà 4 tầng 5m x 20m, Phạm Thế Hiển Quận 8, đẹp lung linh, SHR hoàn công đủ",8.2,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",100.0,4,5,4,Sổ hồng,2026-03-18,batdongsan
"Bán nhà hẻm xe hơi Nguyễn Văn Yến, P Tân Thới Hoà - Tân Phú - DT 4x25m - 4PN - vào ở liền - 8.25 tỷ",8.25,"Đường Nguyễn Văn Yến, Phường Tân Thới Hòa, Quận Tân Phú, Hồ Chí Minh",100.0,4,3,2,Sổ hồng,2026-03-30,batdongsan
"Bán NR 2PN, 3WC, 42m2 tại Nguyễn Hiền, p 9, Q3, giá siêu hời 9,65 tỷ",9.65,"Đường Nguyễn Hiền, Phường 9, Quận 3, Hồ Chí Minh",42.0,2,3,3,Sổ hồng,2026-03-22,batdongsan
"Bán Nhà Hẻm Oto 1 Sẹc , Hẻm 6m Lê Đức Thọ , DT : 4m x 18m ( CN 68m2 ) , 3 Tầng Lầu",9.9,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh",68.0,4,5,4,Sổ hồng,2026-03-30,batdongsan
Đường ÔTô CMT8 - Kế CV Lê Thị Riêng - 3 Tầng - 9.4 Tỷ,9.4,"Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Hồ Chí Minh",62.0,3,3,3,Sổ hồng,2026-03-30,batdongsan
BÁN NHÀ HẺM 49 KHÁNH HỘI MỚI 3 PHÒNG NGỦ NHÀ 4 TẦNG,6.9,"Đường Khánh Hội, Phường 3, Quận 4, Hồ Chí Minh",37.0,3,3,4,Sổ hồng,2026-03-28,batdongsan
"NHÀ 3 TẦNG RỘNG RÃI, HẺM XE HƠI 6M , XE HƠI ĐỂ TRONG SÂN RỘNG NGAY PHƯỜNG BÌNH TRƯNG ĐÔNG Q2",7.5,"Đường 3, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",84.0,3,3,3,Sổ hồng,2026-03-27,batdongsan
"Nhà HXH 8m đường Nguyễn Cảnh Chân 5x14m, nhà 3 lầu ST mới đẹp, giá 16.8 tỷ TL",16.8,"Đường Nguyễn Cảnh Chân, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",60.9,5,6,4,Sổ hồng,2026-03-27,batdongsan
"Bán nhà 4 tầng, 5PN, 5WC, 60m2. Ngay gần sân bay",8.9,"Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh",60.0,5,5,4,Sổ hồng,2026-03-31,batdongsan
"Siêu vị trí! Hẻm VIP Phan Đình Phùng, P1 Q, Phú nhuận DTSD: 93,1m2 - 4 tầng nở hậu, chỉ 7,22 tỷ TL!",7.22,"Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, Hồ Chí Minh",42.3,4,3,4,Sổ hồng,2026-03-28,batdongsan
"Nhà mới 3 lầu cần bán nhanh (4,3x24)m tại Thạnh Xuân 38, P. Thới An, TP.HCM",6.0,"Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",80.0,3,3,3,Sổ hồng,2026-03-24,batdongsan
"Nhà Mới Ở Ngay - Hẻm Đẹp Huỳnh Văn Bánh. P15. Phú Nhuận - 4 Tầng 5 x 6m )( 2 PN - 3 WC ) -5,350 Tỷ",5.35,"Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Hồ Chí Minh",30.0,2,3,4,Sổ hồng,2026-03-30,batdongsan
BÁN NHÀ : LÊ THÁNH TÔN ( KHU PHỐ NHẬT ) KINH DOANH 24H,8.5,"Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh",24.0,3,3,3,Sổ hồng,2026-03-25,batdongsan
"Bán gấp nhà Phạm Cự Lượng, P. 2 Tân Bình,DT 50m²/Gía 2tỷ250, sau lưng BV Tâm Anh, SHR,LH0904 472 ***",2.25,"Đường Phạm Cự Lượng, Phường 2, Quận Tân Bình, Hồ Chí Minh",50.0,3,3,3,Sổ hồng,2026-03-29,batdongsan
"Nhà Bình Tiên Q6-Nhà Đẹp-DT 40 M2-Giá 6,28 Tỏi(TL)",6.28,"Đường Bình Tiên, Phường 7, Quận 6, Hồ Chí Minh",40.0,4,3,4,Sổ hồng,2026-03-18,batdongsan
Nhà Bán HXH Đường Thạnh Lộc 37 DT 72m2 Ngang 4.0m 1 trệt 2 lầu nhỉnh 6 tỷ p.an phú Đông (Quận12 củ),6.35,"Đường Thạnh Lộc 37, Phường An Phú Đông, Quận 12, Hồ Chí Minh",72.0,3,3,3,Sổ hồng,2026-03-30,batdongsan
"CHÍNH CHỦ BÁN NHÀ NGAY TẠI DƯƠNG VĂN NGA, GIÁ CHỈ 2 TỶ 220, HẺM Ô TÔ, XUNG QUANH GẦN NHIỀU TIỆN ÍCH",2.22,"Đường Dương Vân Nga, Phường 3, Quận Tân Bình, Hồ Chí Minh",50.0,2,2,2,Sổ hồng,2026-03-30,batdongsan
BÁN NHÀ SỔ HỒNG RIÊNG HẺM 1/ - 4X8.5 - NGUYỄN THỊ THẬP - Q7,3.8,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",34.0,2,1,2,Sổ hồng,2026-03-26,batdongsan
"Bán nhà góc HXH 59/ Mã Lò, 4x8.4m, cấp 4, giá 3.7 tỷ",3.7,"59/ , Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",33.6,2,2,1,Sổ hồng,2026-03-27,batdongsan
"Bán căn nhà 3 tầng Hẻm ô tô đường Nguyễn Duy Trinh, Quận 2. 139m2 sàn, ô tô đỗ trước cửa giá còn TL",6.9,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",71.4,3,2,3,Sổ hồng,2026-03-21,batdongsan
Khan hiếm Nguyễn Cửu Vân P. 17 - bán toà nhà CHDV 5 tầng 170m2 (7m x 28m) - dòng tiền 1.3 tỷ/năm,30.9,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh",170.0,14,14,5,Sổ hồng,2026-03-20,batdongsan
Bán nhà 30 m ra đường Nguyễn Thị thập gần ngã tư huỳnh tấn phát đường xe hơi xe tải vi vu,11.97,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",100.0,2,1,1,Sổ hồng,2026-03-27,batdongsan
"Nhà 1/ sát bệnh viện Nhi Đồng đường Sư Vạn Hạnh P9 Q10. DT 50m2, 1 trệt 1 lầu 3PN",5.0,"Đường Sư Vạn Hạnh, Phường 9, Quận 10, Hồ Chí Minh",50.0,3,2,2,Sổ hồng,2026-03-28,batdongsan
"Nhà nát hẻm 8m Lạc Long Quân. Diện tích: 12,5 x 33m. Giá: 90 triệu/m2",36.2,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",402.0,1,1,1,Sổ hồng,2026-03-28,batdongsan
Nhà 4x13.3m hẻm xe hơi Tô Hiệu - Giá 5.5 tỷ,5.5,"Đường Tô Hiệu, Phường Tân Thới Hòa, Quận Tân Phú, Hồ Chí Minh",45.0,2,1,1,Sổ hồng,2026-03-20,batdongsan
"XE HƠI VÀO NHÀ QUẬN 3 CÁCH MẠNG THÁNG TÁM 93M2, 6 TẦNG, NGANG 5.3M, 7PN, CHỈ 23.5 TỶ/TL",23.5,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",93.0,7,6,6,Sổ hồng,2026-03-24,batdongsan
Nhà giá tốt diện tích đẹp có cửa hậu ra đường nội bộ,6.7,"Đường Bông Sao, Phường 5, Quận 8, Hồ Chí Minh",75.0,3,2,2,Sổ hồng,2026-03-28,batdongsan
"Căn góc 2 mặt tiền HXH vip 7m Nam Kỳ Khởi Nghĩa, Q3. Giá 24 tỷ. DT: 95.5m2. HĐT: 75 triệu/tháng",24.0,"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",95.5,4,5,3,Sổ hồng,2026-03-28,batdongsan
Bán nhà mới hẻm 157 Mai Xuân Thưởng P4 Q6,5.6,"Đường Mai Xuân Thưởng, Phường 4, Quận 6, Hồ Chí Minh",39.1,4,3,3,Sổ hồng,2026-03-18,batdongsan
"Bán nhà Lạc Long Quân nối dài, phường 3 (4m x 12m x 5 tầng) 8,8 tỷ TL - Thang máy",8.8,"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",46.0,5,4,5,Sổ hồng,2026-03-18,batdongsan
"Hẻm xe hơi chạy, ngủ trong nhà thông khắp nơi... - Diện tích: 66 m2 ( 4m x 17m). Chỉ 7,6 Tỷ.",7.6,"Đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",66.0,4,3,3,Sổ hồng,2026-03-30,batdongsan
"Hiếm, 4 tầng 46m2, hẻm xe hơi gần Phạm Văn Đồng",4.8,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",46.0,4,4,5,Sổ hồng,2026-03-30,batdongsan
"Sao không thể? Chỉ 9.28 tỷ sở hữu nhà 4tầng, 175m2, ngang 7m gần Vành Đai 3",9.28,"Phường Trường Thạnh, Quận 9, Hồ Chí Minh",175.0,5,4,4,Sổ hồng,2026-03-26,batdongsan
Giảm mạnh hơn 1 tỷ nhà 4 tầng Q11 chỉ 4.2 tỷ chốt ngay kẻo mất,4.2,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",22.4,2,2,4,Sổ hồng,2026-03-24,batdongsan
"Sang Úc định cư! Bán nhà 57m2 đường Trần Não,Q2 giá 2tỷ850. Gần cầu Sài Gòn. Hẻm 8m. Sổ riêng",2.85,"Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh",57.0,3,3,2,Sổ hồng,2026-03-30,batdongsan
"Bán nhà Tân Bình, đường Thành Mỹ 61M2 Ngang lớn 5m 4 lầu 5PN mới đẹp gần mặt tiền chỉ nhỉnh 7 tỷ",7.9,"Đường Thành Mỹ, Phường 8, Quận Tân Bình, Hồ Chí Minh",61.0,5,5,4,Sổ hồng,2026-03-30,batdongsan
Nhà đẹp 3 tầng - 110m2 - 4x28m - Trường Chinh Q12 - HXH thông,7.15,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",110.0,3,3,3,Sổ hồng,2026-03-23,batdongsan
bán nhà mới 100% hẻm xe hơi 9m đường Lạc Long Quân phường 3 quận 11 TPHCM,10.5,"121, Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",63.0,5,4,4,Sổ hồng,2026-03-24,batdongsan
"HẺM XE HƠI NGUYỄN ĐÌNH CHIỂU - NGANG 4M, 5 TẦNG BTCT/3PN, 4WC - FULL NỘI THẤT CAO CẤP - CHỈ 8.68 TỶ",8.68,"Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh",35.0,3,4,5,Sổ hồng,2026-03-21,batdongsan
"Bán nhà mới Lê Quang Sung, 64m2, 4 tầng BTCT, 5 phòng, có sân thượng,kế chợ Cây Gõ, hẻm 6m thông,",7.2,"Đường Lê Quang Sung, Phường 2, Quận 6, Hồ Chí Minh",64.0,5,4,4,Sổ hồng,2026-03-29,batdongsan
"Bán nhà mới đẹp 67m2, 2 tấm, full nội thất an ninh, yên tĩnh Quốc lộ 1A, Đông Hưng Thuận chỉ 4xT",4.15,"Đường Quốc lộ 1A, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",67.0,2,3,2,Sổ hồng,2026-03-31,batdongsan
NHÀ KINH DOANH - SIÊU VIP - LÊ VĂN SỸ -TRUNG TÂM PHÚ NHUẬN,14.89,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Hồ Chí Minh",65.5,5,3,4,Sổ hồng,2026-03-28,batdongsan
78m2 - 6tỷ700 - Nhà đất giá rẻ trung tâm Q4 - nhanh kẻ lỡ,6.7,"Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh",78.0,3,2,4,Sổ hồng,2026-03-25,batdongsan
NHÀ 5 LẦU (4X22) CỰC ĐẸP HẺM 6M ĐƯỜNG TÂN HÒA ĐÔNG Q.6,9.0,"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh",88.0,6,7,5,Sổ hồng,2026-03-27,batdongsan
"Nhà 4.15m x 16m, trệt 1 lầu, hẻm Lạc Long Quân gần Đầm Sen",5.98,"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",66.5,2,2,2,Sổ hồng,2026-03-30,batdongsan
Bán nhà Quận 5 - mặt tiền nội bộ - 4 tầng BTCT - 3PN lớn - 11 tỷ,11.0,"Đường Công Trường An Đông, Phường 9, Quận 5, Hồ Chí Minh",33.0,3,3,4,Sổ hồng,2026-03-23,batdongsan
"Nhà đẹp 3 tầng - diện tích lớn - hẻm 4m sát mặt tiền An Dương Vương giáp Q1. Chỉ 13,3 tỷ",13.3,"Đường An Dương Vương, Phường 3, Quận 5, Hồ Chí Minh",78.0,5,4,3,Sổ hồng,2026-03-19,batdongsan
"Hiếm Nhà đẹp 3 tầng khu phân lô hẻm xe hơi vivu, phường Bình Trưng (Bình Trưng Đông cũ)",8.2,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",60.0,4,5,3,Sổ hồng,2026-03-17,batdongsan
NGAY MẶT TIỀN ĐƯỜNG SỐ 9 - 70M - HẺM XE TẢI THÔNG KINH DOANH - 4 TẦNG BTCT - GIÁ 7.X TỶ TL,7.99,"Đường Số 9, Phường 9, Quận Gò Vấp, Hồ Chí Minh",70.0,4,4,4,Sổ hồng,2026-03-29,batdongsan
"Nhà đẹp full nội thất cao cấp có luôn thang máy vị trí đẹp tại KDC có công viên, cổng bảo vệ",9.4,"Đường D6, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",90.0,4,5,4,Sổ hồng,2026-03-30,batdongsan
"Bán nhà khu Bình Trị Đông, 125m2, ngang 5m thu nhập 200tr/năm, nhỉnh 6 tỷ",6.8,"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",125.0,4,4,2,Sổ hồng,2026-03-30,batdongsan
BÁN NHÀ QUẬN 10. ĐƯỜNG VĨNH VIỄN. HẺM THẲNG 1 TRỤC. 7 TỶ 2.,7.2,"Đường Vĩnh Viễn, Phường 5, Quận 10, Hồ Chí Minh",29.0,3,3,3,Sổ hồng,2026-03-30,batdongsan
